'Bologna','Ferrara','Modena','Parma','Genova','Torino','Vercelli','Castellanza','Varese','Milano','Pavia','Bergamo','Brescia','Trento','Bolzano','Verona','Padova','Venezia','Udine','Trieste'
0,40,30,80,190,290,240,220,240,200,180,180,140,170,220,100,100,130,220,220
40,0,50,100,210,310,250,230,240,200,190,180,130,140,180,80,60,80,180,190
30,50,0,50,160,260,210,190,210,160,150,150,110,150,200,80,110,140,230,240
80,100,50,0,110,210,160,140,160,110,100,110,80,150,200,80,130,170,260,280
190,210,160,110,0,120,100,130,150,110,80,150,160,250,290,190,250,290,380,400
290,310,260,210,120,0,60,110,120,120,110,170,200,280,320,260,330,360,440,480
240,250,210,160,100,60,0,40,60,60,50,100,140,220,260,200,270,300,380,410
220,230,190,140,130,110,40,0,20,20,50,60,100,170,210,160,230,260,330,370
240,240,210,160,150,120,60,20,0,40,70,60,110,180,200,170,240,270,340,380
200,200,160,110,110,120,60,20,40,0,30,40,80,160,200,140,200,240,320,350
180,190,150,100,80,110,50,50,70,30,0,60,90,180,220,140,210,250,330,360
180,180,150,110,150,170,100,60,60,40,60,0,40,120,150,100,170,210,270,310
140,130,110,80,160,200,140,100,110,80,90,40,0,90,130,60,130,160,240,270
170,140,150,150,250,280,220,170,180,160,180,120,90,0,50,70,90,110,160,210
220,180,200,200,290,320,260,210,200,200,220,150,130,50,0,120,120,140,150,200
100,80,80,80,190,260,200,160,170,140,140,100,60,70,120,0,60,100,180,210
100,60,110,130,250,330,270,230,240,200,210,170,130,90,120,60,0,30,120,140
130,80,140,170,290,360,300,260,270,240,250,210,160,110,140,100,30,0,90,110
220,180,230,260,380,440,380,330,340,320,330,270,240,160,150,180,120,90,0,60
220,190,240,280,400,480,410,370,380,350,360,310,270,210,200,210,140,110,60,0
